#tstp   Ax    Ay
-1  0  0
0  -0.0304916  0.0439883
1  -0.03099  0.0444694
2  -0.0314953  0.0449544
3  -0.0320077  0.0454436
4  -0.0325272  0.0459368
5  -0.0330539  0.0464341
6  -0.033588  0.0469355
7  -0.0341294  0.047441
8  -0.0346783  0.0479506
9  -0.0352347  0.0484643
10  -0.0357988  0.0489822
11  -0.0363706  0.0495043
12  -0.0369502  0.0500306
13  -0.0375377  0.050561
14  -0.0381331  0.0510957
15  -0.0387367  0.0516346
16  -0.0393484  0.0521777
17  -0.0399684  0.052725
18  -0.0405967  0.0532766
19  -0.0412334  0.0538325
20  -0.0418786  0.0543927
21  -0.0425325  0.0549571
22  -0.0431951  0.0555259
23  -0.0438665  0.0560989
24  -0.0445467  0.0566763
25  -0.045236  0.057258
26  -0.0459344  0.0578441
27  -0.0466419  0.0584345
28  -0.0473588  0.0590292
29  -0.048085  0.0596284
30  -0.0488207  0.0602319
31  -0.049566  0.0608398
32  -0.0503209  0.061452
33  -0.0510857  0.0620687
34  -0.0518603  0.0626897
35  -0.0526449  0.0633152
36  -0.0534396  0.0639451
37  -0.0542445  0.0645794
38  -0.0550597  0.0652181
39  -0.0558853  0.0658613
40  -0.0567214  0.0665088
41  -0.0575681  0.0671608
42  -0.0584256  0.0678173
43  -0.0592938  0.0684781
44  -0.0601731  0.0691434
45  -0.0610633  0.0698132
46  -0.0619648  0.0704874
47  -0.0628775  0.071166
48  -0.0638015  0.071849
49  -0.0647371  0.0725365
50  -0.0656843  0.0732285
51  -0.0666432  0.0739248
52  -0.067614  0.0746256
53  -0.0685967  0.0753308
54  -0.0695914  0.0760405
55  -0.0705984  0.0767546
56  -0.0716177  0.077473
57  -0.0726493  0.0781959
58  -0.0736935  0.0789232
59  -0.0747504  0.0796549
60  -0.0758201  0.080391
61  -0.0769026  0.0811314
62  -0.0779982  0.0818763
63  -0.0791069  0.0826255
64  -0.0802289  0.083379
65  -0.0813642  0.0841369
66  -0.0825131  0.0848991
67  -0.0836756  0.0856656
68  -0.0848519  0.0864365
69  -0.086042  0.0872116
70  -0.0872462  0.087991
71  -0.0884645  0.0887747
72  -0.0896971  0.0895626
73  -0.0909441  0.0903548
74  -0.0922056  0.0911512
75  -0.0934818  0.0919517
76  -0.0947727  0.0927565
77  -0.0960786  0.0935654
78  -0.0973995  0.0943785
79  -0.0987356  0.0951956
80  -0.100087  0.0960169
81  -0.101454  0.0968423
82  -0.102836  0.0976717
83  -0.104235  0.0985051
84  -0.105649  0.0993425
85  -0.107079  0.100184
86  -0.108525  0.101029
87  -0.109987  0.101879
88  -0.111466  0.102732
89  -0.112961  0.103589
90  -0.114473  0.10445
91  -0.116002  0.105314
92  -0.117548  0.106183
93  -0.119111  0.107055
94  -0.120691  0.107931
95  -0.122289  0.108811
96  -0.123904  0.109694
97  -0.125536  0.110581
98  -0.127187  0.111471
99  -0.128855  0.112365
100  -0.130542  0.113262
101  -0.132247  0.114163
102  -0.13397  0.115067
103  -0.135712  0.115975
104  -0.137472  0.116886
105  -0.139251  0.1178
106  -0.14105  0.118718
107  -0.142867  0.119638
108  -0.144704  0.120562
109  -0.14656  0.121489
110  -0.148435  0.122419
111  -0.150331  0.123352
112  -0.152246  0.124288
113  -0.154181  0.125226
114  -0.156136  0.126168
115  -0.158112  0.127112
116  -0.160108  0.128059
117  -0.162125  0.129009
118  -0.164162  0.129961
119  -0.166221  0.130916
120  -0.1683  0.131873
121  -0.170401  0.132833
122  -0.172523  0.133795
123  -0.174666  0.13476
124  -0.176832  0.135726
125  -0.179019  0.136695
126  -0.181228  0.137666
127  -0.183459  0.138639
128  -0.185713  0.139614
129  -0.187989  0.140591
130  -0.190287  0.141569
131  -0.192609  0.14255
132  -0.194953  0.143532
133  -0.19732  0.144515
134  -0.199711  0.1455
135  -0.202125  0.146487
136  -0.204563  0.147475
137  -0.207024  0.148464
138  -0.209509  0.149454
139  -0.212018  0.150445
140  -0.214551  0.151438
141  -0.217109  0.152431
142  -0.219691  0.153426
143  -0.222297  0.154421
144  -0.224929  0.155416
145  -0.227585  0.156412
146  -0.230267  0.157409
147  -0.232974  0.158406
148  -0.235706  0.159404
149  -0.238463  0.160401
150  -0.241247  0.161399
151  -0.244056  0.162397
152  -0.246892  0.163394
153  -0.249753  0.164391
154  -0.252641  0.165388
155  -0.255555  0.166385
156  -0.258497  0.167381
157  -0.261464  0.168377
158  -0.264459  0.169371
159  -0.267481  0.170365
160  -0.27053  0.171358
161  -0.273607  0.17235
162  -0.276711  0.17334
163  -0.279843  0.17433
164  -0.283003  0.175318
165  -0.286191  0.176304
166  -0.289407  0.177288
167  -0.292652  0.178271
168  -0.295925  0.179252
169  -0.299226  0.180231
170  -0.302557  0.181208
171  -0.305916  0.182182
172  -0.309305  0.183154
173  -0.312723  0.184123
174  -0.31617  0.18509
175  -0.319646  0.186054
176  -0.323153  0.187014
177  -0.326689  0.187972
178  -0.330255  0.188927
179  -0.333852  0.189878
180  -0.337478  0.190825
181  -0.341135  0.191769
182  -0.344823  0.192709
183  -0.348541  0.193645
184  -0.352291  0.194577
185  -0.356071  0.195505
186  -0.359882  0.196428
187  -0.363725  0.197347
188  -0.367599  0.198261
189  -0.371505  0.19917
190  -0.375442  0.200074
191  -0.379411  0.200973
192  -0.383413  0.201866
193  -0.387446  0.202754
194  -0.391512  0.203636
195  -0.39561  0.204513
196  -0.39974  0.205383
197  -0.403903  0.206247
198  -0.408099  0.207105
199  -0.412328  0.207957
200  -0.41659  0.208801
201  -0.420885  0.209639
202  -0.425213  0.21047
203  -0.429575  0.211293
204  -0.43397  0.212109
205  -0.438399  0.212917
206  -0.442862  0.213718
207  -0.447359  0.214511
208  -0.451889  0.215295
209  -0.456454  0.216072
210  -0.461053  0.216839
211  -0.465687  0.217598
212  -0.470355  0.218349
213  -0.475057  0.21909
214  -0.479795  0.219821
215  -0.484567  0.220544
216  -0.489374  0.221256
217  -0.494216  0.221959
218  -0.499094  0.222652
219  -0.504006  0.223334
220  -0.508954  0.224006
221  -0.513938  0.224667
222  -0.518957  0.225318
223  -0.524012  0.225957
224  -0.529102  0.226585
225  -0.534229  0.227201
226  -0.539391  0.227806
227  -0.544589  0.228399
228  -0.549824  0.228979
229  -0.555095  0.229547
230  -0.560402  0.230103
231  -0.565745  0.230646
232  -0.571125  0.231176
233  -0.576542  0.231692
234  -0.581995  0.232195
235  -0.587485  0.232685
236  -0.593011  0.23316
237  -0.598575  0.233621
238  -0.604176  0.234068
239  -0.609813  0.234501
240  -0.615488  0.234918
241  -0.6212  0.23532
242  -0.626949  0.235708
243  -0.632735  0.236079
244  -0.638559  0.236435
245  -0.64442  0.236775
246  -0.650318  0.237098
247  -0.656254  0.237405
248  -0.662228  0.237696
249  -0.668239  0.237969
250  -0.674288  0.238225
251  -0.680374  0.238464
252  -0.686499  0.238685
253  -0.692661  0.238888
254  -0.69886  0.239073
255  -0.705098  0.239239
256  -0.711374  0.239387
257  -0.717687  0.239516
258  -0.724039  0.239625
259  -0.730428  0.239715
260  -0.736856  0.239786
261  -0.743321  0.239836
262  -0.749825  0.239866
263  -0.756366  0.239876
264  -0.762946  0.239865
265  -0.769564  0.239833
266  -0.776219  0.23978
267  -0.782913  0.239705
268  -0.789645  0.239609
269  -0.796415  0.23949
270  -0.803223  0.239349
271  -0.81007  0.239186
272  -0.816954  0.238999
273  -0.823876  0.23879
274  -0.830836  0.238557
275  -0.837835  0.238301
276  -0.844871  0.238021
277  -0.851946  0.237717
278  -0.859058  0.237388
279  -0.866208  0.237034
280  -0.873396  0.236656
281  -0.880622  0.236252
282  -0.887886  0.235823
283  -0.895188  0.235368
284  -0.902527  0.234886
285  -0.909904  0.234379
286  -0.917319  0.233845
287  -0.924771  0.233284
288  -0.932261  0.232696
289  -0.939788  0.23208
290  -0.947353  0.231437
291  -0.954955  0.230766
292  -0.962594  0.230066
293  -0.970271  0.229338
294  -0.977984  0.228581
295  -0.985735  0.227795
296  -0.993523  0.22698
297  -1.00135  0.226135
298  -1.00921  0.22526
299  -1.01711  0.224354
300  -1.02504  0.223419
301  -1.03301  0.222452
302  -1.04102  0.221455
303  -1.04906  0.220426
304  -1.05714  0.219365
305  -1.06526  0.218273
306  -1.07341  0.217149
307  -1.0816  0.215992
308  -1.08982  0.214802
309  -1.09808  0.213579
310  -1.10638  0.212323
311  -1.11471  0.211034
312  -1.12307  0.20971
313  -1.13147  0.208353
314  -1.13991  0.206961
315  -1.14838  0.205535
316  -1.15688  0.204073
317  -1.16542  0.202576
318  -1.17399  0.201044
319  -1.1826  0.199476
320  -1.19124  0.197872
321  -1.19992  0.196232
322  -1.20863  0.194555
323  -1.21737  0.192841
324  -1.22615  0.19109
325  -1.23495  0.189301
326  -1.2438  0.187475
327  -1.25267  0.185611
328  -1.26158  0.183709
329  -1.27052  0.181768
330  -1.27949  0.179788
331  -1.28849  0.177769
332  -1.29752  0.175711
333  -1.30659  0.173614
334  -1.31569  0.171476
335  -1.32482  0.169299
336  -1.33398  0.167081
337  -1.34317  0.164822
338  -1.35239  0.162523
339  -1.36164  0.160182
340  -1.37092  0.1578
341  -1.38023  0.155376
342  -1.38957  0.152911
343  -1.39893  0.150403
344  -1.40833  0.147852
345  -1.41776  0.145259
346  -1.42721  0.142623
347  -1.43669  0.139944
348  -1.4462  0.137222
349  -1.45574  0.134455
